,Unnamed: 0,ID,first_wins,s,phi_vanilla,phi_avg,phi_entropy,gemma_27b_vanilla,gemma_27b_avg,gemma_27b_entropy,gemma_2b_vanilla,gemma_2b_avg,gemma_2b_entropy,gemma_9b_vanilla,gemma_9b_avg,gemma_9b_entropy,llama_3b_vanilla,llama_3b_avg,llama_3b_entropy,llama_8b_vanilla,llama_8b_avg,llama_8b_entropy,llama_70b_vanilla,llama_70b_avg,llama_70b_entropy,aya_32b_vanilla,aya_32b_avg,aya_32b_entropy,aya_8b_vanilla,aya_8b_avg,aya_8b_entropy,mixtral_vanilla,mixtral_avg,mixtral_entropy,conf_phi_vanilla,conf_phi_avg,conf_phi_entropy,conf_phi_verbal_conf,conf_llama_3b_vanilla,conf_llama_3b_avg,conf_llama_3b_entropy,conf_llama_3b_verbal_conf,conf_llama_8b_vanilla,conf_llama_8b_avg,conf_llama_8b_entropy,conf_llama_8b_verbal_conf,conf_llama_70b_vanilla,conf_llama_70b_avg,conf_llama_70b_entropy,conf_llama_70b_verbal_conf,conf_gemma_27b_vanilla,conf_gemma_27b_avg,conf_gemma_27b_entropy,conf_gemma_27b_verbal_conf,conf_gemma_2b_vanilla,conf_gemma_2b_avg,conf_gemma_2b_entropy,conf_gemma_2b_verbal_conf,conf_gemma_9b_vanilla,conf_gemma_9b_avg,conf_gemma_9b_entropy,conf_gemma_9b_verbal_conf,conf_aya_32b_vanilla,conf_aya_32b_avg,conf_aya_32b_entropy,conf_aya_32b_verbal_conf,conf_mixtral_vanilla,conf_mixtral_avg,conf_mixtral_entropy,conf_mixtral_verbal_conf,FKGL,ARI,RSRS_mBERT
10,10,53,1,Bone marrow is the flexible tissue found in the hollow inside of bones.,2,1.500471892502901,0.0604172242528111,2,2.028562969275299,0.0149079622320557,2,2.714178394526243,0.1234056233317501,2,1.6276168491203862,0.0677395892860124,1,3.008322201669216,0.1443348619538731,1,1.4481045603752136,0.0584733742237571,2,2.0,-0.0,3,2.9909197893373403,0.0048063275639986,2,2.442714336503059,0.0568285152084042,1,1.0001234075470626,0.0001189513196905,2,1.8012424456137524,0.0450988457387141,8.263844850694113,1,2.594412852078676,0.1270626870369583,8.551895439624786,2,2.466832607984543,0.0741037814101277,8.0,2,2.0,-0.0,8.260829031467438,2,2.483501044480363,0.0601245220689537,7.499394712597677,3,3.79751942679286,0.1469134151222184,6.960163063835353,2,2.1718495777240605,0.0634841784012462,8.962388014340235,3,3.001829394172092,0.0039070956960474,7.8354787063830145,1,1.0003799298430742,0.0003251065252925,8.999446736058177,7.2,6.5,0.0003652389149755
11,11,416,1,"Tajikistan, Turkmenistan and Uzbekistan are next to Afghanistan to the North, Iran to the West, Pakistan to the South and the people's Republic of China to the East.",2,2.305160287010949,0.0626426192184044,3,3.0965459797153017,0.053232085521609,3,3.3004685966297984,0.1160248405441448,3,3.394069894799032,0.0709304821407757,4,4.7815530225634575,0.1436684857786234,4,4.37032825499773,0.1016755770881732,2,2.764075264334678,0.0877115461581348,4,3.868960190277903,0.0326209525675214,3,3.200222487256724,0.0551052265817807,2,1.989216480101836,0.0060144328199153,2,2.1971835016302066,0.048734259094713,8.029693987120481,4,3.93074843287468,0.1251042923106911,7.610865131020546,4,4.657261162996292,0.0856536024449279,7.889272727072239,2,2.928325057029724,0.0929778618945208,8.0,4,4.043638717965223,0.0780619416479563,6.67942855286401,4,4.23610058799386,0.1332146301158705,6.927962702495279,4,3.972422194550745,0.0862941043262418,7.971605415910062,4,3.989894498831646,0.027215643950771,7.042040560831083,1,1.37754071573643,0.0638981922048608,8.993307449629784,10.7,15.8,0.0004556856487335
12,12,353,1,Originally people thought that the debris thrown up by the collision filled in the smaller craters.,2,2.36975630701636,0.0647628974643797,3,3.1113108179597475,0.0352026475116952,4,4.164614479988813,0.1346681814902703,3,2.970874064732925,0.0390850953710129,4,4.280664406716824,0.1177153898720227,4,3.648802399635315,0.1011349395335683,2,2.500377207994461,0.076650723287952,4,4.26861546539817,0.0472980717876439,4,3.754314481617257,0.0533950670347927,3,2.624689866044108,0.0649583094075658,3,2.569057643668202,0.0706546611330934,7.8526720125428255,4,3.384253945201636,0.1148746153042813,7.251678138971329,4,4.539727866649628,0.0792280913578749,7.8670356422662735,2,2.585443019866944,0.0817455901683952,8.0,4,4.442092702665832,0.0736585019458798,6.731569869217992,5,4.584227688610554,0.1258656672777424,7.030915783194359,4,4.090989860065747,0.0747957157329011,7.986769517591284,5,4.562414936877872,0.0557350442791253,7.007539878548414,2,1.9820139125517928,0.0086855657074203,8.047412953895218,8.4,11.3,0.0003622730141975
13,13,398,1,Pont-Bellanger and Beaumesnil are nearby settlements.,1,1.3210027650588927,0.0545763730986657,2,1.829494801844703,0.0423547459512081,1,1.2967398788314313,0.0561916615114008,1,1.1029049726057565,0.0273340521667968,1,1.598405234515667,0.0832412726491682,2,1.8112774640321732,0.04118128342827,2,2.0,-0.0,3,2.851962271340824,0.0337036206048072,2,2.3255839377191023,0.0522302596844839,1,1.000010127201297,1.220686543924908e-05,2,1.6233474369191754,0.0579878686921066,8.316922763263847,1,1.972538098692894,0.1059218349706043,8.041657246649265,2,2.5659357607364655,0.0808471661356846,8.0,2,2.0,-0.0,8.260829031467438,2,1.6609837555297418,0.0550555103039199,7.952701381901988,1,1.156479900702834,0.0369397329199624,8.472706133266911,2,1.774684329109732,0.0685570815048668,8.983887644270027,2,2.407231712730976,0.0544716180601302,7.996413358067912,1,1.0000000163040408,1.4636388507402533e-08,8.999738310250958,10.4,19.3,0.0004357278057186
14,14,1718,2,The current lineup of the band comprises four individuals. Flynn does vocals and guitar. Duce plays the Bass. Phil Demmel plays guitar. Dave MCCLAIN plays the drums.,2,1.883568437404392,0.033151197094667,3,2.8981336067517987,0.0410763909683113,2,2.797163551673293,0.1058181322555037,3,3.1515090280445293,0.0658711819698287,4,3.911336772143841,0.1199925805497455,4,3.504533052444458,0.1089331360813367,2,2.0,-0.0,3,2.9843905056973483,0.0067698916900229,2,2.505025704002037,0.0573274824576733,1,1.010986963354933,0.005831110747896,2,1.9906715196339064,0.013709020057947,8.139007112440595,2,2.5614826381206512,0.1056641853272536,8.000000596046448,4,4.457263998687267,0.101984460709225,8.0,2,2.0,-0.0,8.158869177103043,3,3.094648696729564,0.048763694448533,6.96910598379327,3,3.4689177190884948,0.1246665127617525,6.740379367518472,4,3.916425368748605,0.0928320988009814,7.97867287475492,3,2.8677319981666685,0.0318799325708083,7.651345066561021,1,1.0474258810824222,0.0183992987543707,8.99682729038336,4.2,5.5,0.0002533031528741
15,15,95,1,"In April 1862, Ben was arrested for participating in an armed robbery while with Frank Gardiner.",2,1.8462754545631697,0.0430402763380369,3,2.790052134834696,0.0615512935671013,3,3.5031268168240786,0.1286766496556936,3,2.6723485545953736,0.0691120399949578,6,4.3652574717998505,0.154976853390917,4,3.410812586545944,0.1121013621528495,2,2.1329642087221146,0.0333268359257557,3,3.224070168321987,0.0431137436450085,3,3.27276571906242,0.0481680563930682,2,1.982018568277318,0.0086910659333936,2,1.9618724778629253,0.0318603679182488,8.063030241526576,4,3.803947001695633,0.1415287400013167,7.342738032341003,4,5.000000149011612,0.0930155652371613,8.0,2,2.862105876207352,0.0921884025491027,8.0,3,3.148124028550228,0.0642523372537859,7.071366207061146,6,4.582181707024574,0.1474060021078514,7.228985795867629,3,2.948311686050147,0.0622801991997761,8.056003148925413,4,3.697505003168772,0.0556009678012744,7.201793110687504,2,1.904650511747356,0.0303410937628994,8.09533658851251,8.4,10.4,0.0004111907448034
16,16,62,2,"Anyone may register a pedigree with the college, where they are internally audited carefully and require official data before making any type of alteration.",4,4.351206532679498,0.1093119998390177,5,4.96806844072853,0.0583245075412897,6,6.086655401624739,0.0850672844510495,6,5.700580305601761,0.0527888845526283,6,6.08053582906723,0.0741037459365526,6,5.686320818960667,0.0916105278759866,4,4.570358842611313,0.0718036900058736,5,4.9628502378222805,0.0262684189069161,6,5.192647796349775,0.0859403706399968,5,5.008060486310569,0.0065523169255889,4,3.852295182980015,0.0921071100348778,7.497932622729081,6,5.213433228433132,0.1017142128790726,6.8477345407009125,6,5.841130197048187,0.0372214341232602,7.5,4,4.837255597114563,0.0886900289821135,7.697058767080307,6,5.57879010977922,0.0648546427565465,6.776778968787767,7,6.403337274678052,0.0832991903871434,7.025758393690921,6,5.797269640439481,0.0437411298540356,7.777209438087084,5,5.337604310966299,0.06300591709383,7.002680151665118,5,4.999958896029128,0.008532620209859,7.777299719428598,15.0,16.7,0.0005791648727819
17,17,1841,1,Google put the comic on Google books and on its Blog. Then they told why they gave it out early.,2,2.02750539202782,0.0247148738740141,3,3.0804088760196464,0.0390229081427365,5,4.9008958507329226,0.1079686496532429,3,3.252465881989337,0.060631956449785,6,5.328510880470276,0.0817456003037024,4,4.313033692538738,0.0956200148478195,2,2.0,-0.0,3,3.0542254937577127,0.0174897325619401,3,2.998515435055367,0.0112381008801145,2,2.2723154125285063,0.057305442369744,2,2.089379244474572,0.0306366949208263,7.986770612835244,6,5.328510880470276,0.0817456003037024,6.9435054063797,4,4.862106293439865,0.0921884025491027,7.841131299734116,2,2.0,-0.0,8.132964119315147,3,3.4886150483507663,0.0691100584277069,6.988096760455846,6,5.431123486254364,0.0937459746423721,7.058259742916562,3,3.0993846628116444,0.0515584605225088,8.009977629632914,3,3.013887667259226,0.0097169692076319,7.164507955772024,2,2.014166055196256,0.006593327294203,8.060050779247767,1.3,1.7,0.0002841783124478
18,18,1136,2,"After the Sena dynasty, Dhaka was successively ruled by the Turkish and Afghan Governors. These Governors descended from the Delhi Sultanate before the arrival of the Mughals in 1608.",3,2.765821172404685,0.0671206742839558,4,3.916408397257328,0.0457343424022614,5,4.80803136061877,0.0994739867509541,5,5.115067587554222,0.0844669365835682,6,5.316315561532974,0.084090018473827,6,5.1979972422122955,0.0907868314629772,4,4.38241870701313,0.060347868877342,4,4.541018342675557,0.0643333326185651,4,3.820051192910114,0.0535259653468114,5,4.923226404857167,0.0274609691668794,3,2.5831754892515164,0.0659040582361739,7.88266490760725,4,5.000000149011612,0.0930155652371613,6.88212525844574,6,5.739171534776688,0.0487954481362548,7.777300089597702,4,4.916287526488304,0.0889231511821335,7.889272727072239,4,4.150315609876998,0.0479898828642947,6.798543741780122,6,5.616417502285913,0.0748392862804477,7.1194232222333085,6,5.609299038580502,0.0575973106513892,7.798120435724968,5,5.084765981815508,0.062196016096376,7.008310640871059,5,4.844758052172438,0.0459475719781778,7.997528567506056,8.9,11.0,0.0004203550495899
19,19,194,1,She stayed in the United States until 1927 when she and her husband went back to France.,2,1.7328541486549511,0.0514129084532433,2,2.066146912089607,0.0237816046574603,3,3.5418682415038347,0.1357460774924133,1,1.2560431017263909,0.0495074857675607,6,5.263521954417229,0.107047604078253,4,3.6033300161361694,0.1030502896103209,2,2.0,-0.0,3,2.9987987903961653,0.0009112116894365,3,3.01106358694949,0.0274476763816941,1,1.377540775812518,0.0638982266800301,2,1.8999491451140784,0.0324940338627586,8.218073486708818,4,4.153592191636562,0.1251043125813054,7.685114093124866,4,4.678379505872726,0.0865834763357605,8.0,2,2.0,-0.0,8.0,2,2.2105031534301816,0.0441087632294024,7.347762947616502,5,4.684985846281052,0.1431708663894489,7.031864186399616,2,1.915206091798609,0.0585012403653711,8.990172459081805,3,2.995263873650856,0.0036333360776922,7.880796543907508,1,1.001324974000454,0.000974042670371,8.99682723297827,5.2,7.0,0.0003555604382491
20,20,863,1,Admission to Tsinghua is competitive.,1,1.4084463141198285,0.0591502080762433,2,1.9814845240071008,0.019921104809323,2,2.663133591413498,0.1095264582688446,2,2.02242315993135,0.0343224822455403,1,2.425312854349613,0.1086647024711662,2,2.6783795058727264,0.0865834763357605,2,2.0,-0.0,2,2.1192058956778084,0.029340791065387,2,2.0253431195799863,0.0180168964601818,1,1.0600867137492,0.0219025979476334,2,1.6824221443367549,0.0558491135042782,8.313988161749876,1,1.900515094399452,0.1030503402868567,8.602685868740082,4,3.4430109933018684,0.1074590063312426,8.0,2,1.8892730474472048,0.0295901306108655,9.0,2,2.0728828499413794,0.0273223015687273,7.375570164091187,2,2.141010921448469,0.0836412835623884,7.4071312341839075,2,2.2361758100887528,0.0603610656765288,8.987397632016979,2,2.468831806518125,0.0555480733575813,7.997532457832221,1,1.0000748290349408,7.576093529100352e-05,8.999925000915733,12.3,12.2,0.0002858231066661
21,21,422,2,"Offenbach's numerous Operettas, such as Orpheus in the underworld, and La Belle Hélène, were Verypopular in both France and the English-speaking world during the 1850S and 1860S.",3,3.4070205863099545,0.102900014508281,5,5.145967999967979,0.0872996779101239,6,5.151944545097649,0.108254588850259,6,5.723965341516305,0.0548877519691992,6,6.247471779584885,0.0735031732430485,7,6.651355266571045,0.0549749854538071,4,4.446329049766064,0.0662007097715064,4,4.006525105423123,0.0082238846092992,3,3.392111682748464,0.0573204703899862,2,2.323351703683292,0.0612633067258573,3,3.040502731935703,0.0799355462160796,7.906152143374584,6,5.792593784630299,0.0916598564159413,7.302940785884857,7,6.697058796882629,0.0521464796753847,7.778546333312988,4,4.753862604498863,0.0856536024449279,8.0,6,5.4630451704142615,0.0780367987185635,6.635357599507188,6,6.061531988438219,0.0799117298902131,6.98406785732368,6,5.751155946214567,0.0506200304782274,7.798035230440746,4,4.131779895542422,0.0322126970635126,7.008453333255602,2,2.0011823432934506,0.0008796937382818,8.148012655668936,13.8,18.6,0.0006043870673956
22,22,1553,1,"Hiterrhein is a district in Graubunden, Switzerland.",2,1.565960483689878,0.0609489668315189,2,1.57071153819561,0.0576987391335446,1,1.0277190009801416,0.0095660159033886,1,1.0097308601543773,0.0043938157588357,6,6.345041997730732,0.1431397166687045,2,2.2482535988092422,0.0916105177406794,2,2.0,-0.0,2,2.377480823475935,0.0532900966208362,2,2.0536529970465267,0.0296138764004415,1,1.0000001697885783,2.308835799153839e-07,2,2.0550566280580824,0.0564017603877884,8.063874225441396,6,6.240113414824009,0.1368239304169811,6.529547899961472,4,3.080122008919716,0.0907868213276701,8.0,2,2.0,-0.0,8.348645627498627,2,1.737847490792774,0.0492497815106718,7.987772957788366,1,1.0170810975105269,0.0064399200584077,8.371143150900025,1,1.0562885318213375,0.0177248426444147,8.999522170987916,3,2.8354421217347863,0.0360587539667721,7.817568680450563,1,1.000000016304044,1.4636389877322678e-08,8.999446742381638,6.0,13.0,0.0004353109884106
23,23,515,1,Volterra is a town in a part of Italy called Tuscany.,1,1.2690478398362757,0.0506094978975413,1,1.060665398547826,0.0184698078266507,1,1.1268491408554837,0.0318215505260209,1,1.0015863702674324,0.0009485604478717,1,1.1107274740934372,0.0295902015580156,2,1.9999998807907104,0.0601618859909297,2,1.889272592961788,0.0295902015580156,2,1.7311061649375858,0.0467846735594829,2,2.1807056254644976,0.0402262268217897,1,1.0000000009198111,9.531436901663634e-10,1,1.3209313859906615,0.0545436787452523,8.991721821912222,1,1.4384722858667374,0.0716546503140647,8.602684199810028,2,2.6572611927986145,0.0856536024449279,8.0,2,1.7772999107837677,0.0450870558019201,8.188722684979439,1,1.3500014848750652,0.0524343419657422,8.965662090166916,1,1.0630208852235228,0.018699278340011,8.416936207795516,1,1.0067215685603514,0.0032383068769535,8.999749770864355,1,1.4074834368336884,0.0543472531763661,8.952567542494307,1,1.000000001516512,1.536133244054393e-09,8.999796543215586,2.9,2.5,0.0003892618836132
24,24,827,2,"75 Defencemen are in the hall of fame, more than any other position, while only 35 Goaltenders have been inducted.",2,2.0478980164267,0.0294701865796412,3,3.5122171244001947,0.0801261364240319,6,5.794113142415881,0.110129275915798,4,4.176215342478827,0.0923155319797767,6,5.414859596639872,0.123503846227444,4,3.000000089406967,0.0934052475269039,2,2.091815784573555,0.0260775625461967,4,3.975881966714496,0.0131452109808156,3,3.166128298327749,0.0492795480969832,5,3.905417798541748,0.0938250007308735,2,1.9759270793160224,0.0224797979225002,8.143389491124708,4,4.288217768073082,0.1213069373177469,6.871858060359955,4,3.959520474076271,0.0796632710414652,8.0,2,2.188721925020218,0.0411812150149467,8.0,4,3.729364314523991,0.0762157288422608,6.895579144118983,6,6.317303847783478,0.0653897760013405,7.036374344723299,6,5.463445100700483,0.081679953186766,7.958113344220635,4,4.113355399005172,0.0382594902137764,7.119124961900525,2,1.977028734187645,0.0105546082832432,8.880796649629701,9.9,10.9,0.0005123872693404
